AML01.jpg,114,156,68,255,6,255,AML,13000
AML02.jpg,125,156,61,255,0,255,AML,13000
AML03.jpg,125,156,63,255,0,255,AML,13
AML04.jpg,122,157,75,255,0,255,AML,10
AML05.jpg,129,156,81,255,6,255,AML,10
AML06.jpg,129,156,57,255,6,255,AML,13000
AML07.jpg,126,164,56,255,6,255,AML,13000
AML08.jpg,113,151,68,255,6,255,AML,13000
AML09.jpg,119,162,90,255,6,255,AML,13000
AML10.jpg,125,158,75,255,6,255,AML,10
ALL1.jpg,82,149,117,255,123,255,ALL,10
ALL4.jpg,84,144,68,255,0,206,ALL,1250
ALL5.jpg,129,151,54,255,38,231,ALL,1250
ALL6.jpg,15,157,72,255,89,209,ALL,500
ALL8.jpg,20,151,90,248,109,233,ALL,250
ALL15.jpg,103,148,74,201,128,255,ALL,8275
ALL9.jpg,126,153,101,249,6,231,ALL,8275
ALL10.jpg,50,150,102,254,0,253,ALL,500
ALL11.jpg,50,148,108,253,53,252,ALL,500
ALL7.jpg,122,152,140,255,30,215,ALL,500
